1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,7,7,7,7,7,7,7,7,7,0,5,5,5,5,5,5,5,5,5,5,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,
1,0,7,7,7,7,7,7,7,7,7,0,5,5,5,5,5,5,5,5,5,5,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,
1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
1,0,2,2,2,0,4,0,4,4,4,0,4,4,4,0,4,0,2,2,2,1,0,1,
1,0,2,0,2,0,4,0,0,0,4,0,4,0,0,0,4,0,2,0,2,1,0,1,
1,0,2,0,0,0,4,0,0,0,4,0,4,0,0,0,4,0,2,0,2,1,0,1,
1,0,2,2,2,0,4,4,4,4,4,0,4,4,4,4,4,0,2,2,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,3,3,3,0,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,1,0,1,
1,0,3,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,3,1,0,1,
1,0,3,0,0,0,3,0,2,0,0,0,0,0,2,0,3,0,0,0,3,1,0,1,
1,0,3,0,0,0,3,0,3,2,0,0,0,2,3,0,3,0,0,0,3,1,0,1,
1,0,3,0,0,0,3,0,3,0,2,0,2,0,3,0,3,0,0,0,3,1,0,1,
1,0,3,3,3,0,3,0,3,0,2,0,2,0,3,0,3,0,3,3,3,1,0,1,
1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

18.4063,11.2813,10,
17.625,12.2188,10,
18.7188,12.3125,10,
19.3438,10.75,10,
20.2813,19.3125,10,
20.5313,3.28125,10,
12.4688,3.46875,10,
3.5,2.46875,12,
3.375,10.3438,12,
3.53125,6.3125,12,
7.40625,11.4375,12,
10.4063,11.3125,12,
12.5625,13.4688,12,
13.5,15.4375,12,
12.3438,9.34375,12,
13.3438,7.34375,12,
9.84375,13.9688,12,
9.78125,16.8438,12,
9.75,19.25,12,
9.5625,20.2188,11,
10.4688,20.1563,11,
15.0938,21.5625,11,
17.7188,18.6875,11,
3.45625,20.4,11,
1.59375,11.3438,11,
7.84375,4.53125,11,
7.9375,5.375,11,
8.75,4.84375,11,
9.90625,4.4375,11,
9.9375,5.28125,11,

